,actual,forecast,lower_95,upper_95,abs_error
2011-04-22 15:00:00,607.8175309755877,621.7934366836344,539.4242644132694,704.1626089539993,13.97590570804664
2011-04-22 16:00:00,605.6736317283069,637.8823420927401,503.3907442060515,772.3739399794288,32.20871036443327
2011-04-22 17:00:00,610.8494692845921,636.3064109926054,460.92349509714603,811.6893268880647,25.456941708013233
2011-04-22 18:00:00,688.3723642460712,681.7309324020571,473.40507696814524,890.0567878359689,6.641431844014164
2011-04-22 19:00:00,709.3998338879769,709.290584566992,472.59906345389504,945.982105680089,0.10924932098487261
2011-04-22 20:00:00,719.2686098675548,741.2272810325121,479.22337303287713,1003.2311890321471,21.95867116495731
2011-04-22 21:00:00,757.7026898193898,725.3404608919263,440.26253796232623,1010.4183838215265,32.362228927463434
2011-04-22 22:00:00,738.852687431557,720.8726724114313,414.4533490670125,1027.2919957558502,17.980015020125734
2011-04-22 23:00:00,710.7194984437682,693.5266930516846,367.1585282002647,1019.8948579031044,17.192805392083642
2011-04-23 00:00:00,696.1595628285586,606.8569242379199,261.69094065426304,952.0229078215767,89.30263859063871
2011-04-23 01:00:00,691.6019503257367,603.6128202619075,240.6211764984319,966.6044640253831,87.98913006382918
2011-04-23 02:00:00,334.2660319897432,341.14721071587337,-38.834776571502005,721.1291980032488,6.881178726130145
2011-04-23 03:00:00,209.48653178226118,193.1526060967335,-203.09187384384268,589.3970860373097,16.333925685527674
2011-04-23 04:00:00,188.2768201301093,149.33232789688918,-262.53302037104186,561.1976761648202,38.9444922332201
2011-04-23 05:00:00,179.94227794291845,131.68328036852836,-295.23174902766493,558.5983097647216,48.258997574390094
2011-04-23 06:00:00,183.1556333582469,185.51300230856577,-255.93894246554174,626.9649470826732,2.357368950318886
2011-04-23 07:00:00,196.70582612166672,219.0328830279832,-236.49230482152598,674.5580708774924,22.32705690631647
2011-04-23 08:00:00,462.536144095562,465.35411016715807,-3.822374735717517,934.5305950700337,2.817966071596061
2011-04-23 09:00:00,501.8994668843501,497.97416277068623,15.532507017048886,980.4158185243236,3.925304113663856
2011-04-23 10:00:00,472.06065137096687,459.158013594737,-36.193708343121955,954.5097355325959,12.90263777622988
2011-04-23 11:00:00,463.1024766606607,428.68108959592064,-79.25267148642911,936.6148506782704,34.42138706474009
2011-04-23 12:00:00,432.0030230804018,435.60683193904697,-84.60474316094519,955.8184070390391,3.603808858645152
2011-04-23 13:00:00,375.97762943276854,448.8730612563122,-83.33315825253726,981.0792807651617,72.89543182354367
2011-04-23 14:00:00,387.1692736762963,461.3495886451383,-82.58683895956256,1005.2860162498391,74.18031496884197
2011-04-23 15:00:00,391.0668428474517,480.59928926292923,-76.14008871482065,1037.3386672406791,89.53244641547752
2011-04-23 16:00:00,388.0850513924557,496.4180381250371,-73.22460421901815,1066.0606804690924,108.33298673258145
2011-04-23 17:00:00,411.29576351515,496.58966054684424,-85.77038282567412,1078.9497039193625,85.29389703169426
2011-04-23 18:00:00,428.29324194711927,543.8554894573354,-50.94788347231781,1138.6588623869884,115.56224751021608
2011-04-23 19:00:00,469.7328070289069,573.3643836662413,-33.626099349544006,1180.3548666820266,103.63157663733443
2011-04-23 20:00:00,545.7021216340526,607.3675041385104,-11.570165056435712,1226.3051733334564,61.66538250445785
2011-04-23 21:00:00,642.3127677444634,593.685016200383,-36.97356586610931,1224.3435982668752,48.62775154408041
2011-04-23 22:00:00,627.1810240462443,591.5552049205508,-50.61039392492398,1233.7208037660255,35.62581912569351
2011-04-23 23:00:00,503.1917424120325,566.6697061984778,-86.80031251506796,1220.1397249120237,63.47796378644529
2011-04-24 00:00:00,421.3971118562397,578.7772825901702,-85.80489770434463,1243.359462884685,157.38017073393053
2011-04-24 01:00:00,423.52583261389924,578.2260361658882,-97.28553544081126,1253.7376077725876,154.70020355198898
2011-04-24 02:00:00,250.67417068408926,318.54520541787497,-367.7217196078419,1004.8121304435919,67.8710347337857
2011-04-24 03:00:00,199.2751109789337,173.4954733320992,-523.3608256233832,870.3517722875816,25.779637646834487
2011-04-24 04:00:00,180.63891499501315,132.7554609234976,-574.5316875555415,840.0426094025366,47.88345407151556
2011-04-24 05:00:00,173.88528723572205,118.2526795952981,-599.3137071685247,835.8190663591209,55.63260764042394
2011-04-24 06:00:00,175.27571792251317,175.35298400266402,-552.3474546552812,903.0534226606093,0.07726608015084935
2011-04-24 07:00:00,142.7940841195413,212.22670851261864,-525.4685791452622,949.9219961704995,69.43262439307733
2011-04-24 08:00:00,121.48403852062864,461.8934730622459,-285.66304416057926,1209.4499902850712,340.40943454161726
2011-04-24 09:00:00,121.45178514101745,498.005554499141,-259.2837927466802,1255.2949017449623,376.55376935812353
2011-04-24 10:00:00,108.88857467354,462.7580731448361,-304.1405932131655,1229.6567395028378,353.8694984712961
2011-04-24 11:00:00,98.4096517616209,435.917613275029,-340.47144735844756,1212.3066739085057,337.5079615134081
2011-04-24 12:00:00,104.26127303589308,446.58525052797995,-339.1795886454986,1232.3500897014585,342.3239774920869
2011-04-24 13:00:00,121.44221508519368,463.6514001843825,-331.3786567853505,1258.6814571541154,342.20918509918886
2011-04-24 14:00:00,115.8748768031152,479.9723854162039,-324.2161499768181,1284.160920809226,364.09750861308873
